src,dst,shapley_raw,shapley_normalized
2442,6137,52.291202545166016,6.021179843322466e-05
105,7281,52.24983215332031,6.0164161630594896e-05
141,1173,52.23556995391846,6.0147739122910986e-05
1387,5387,52.14494705200195,6.004338948782815e-05
135,6242,52.13789892196655,6.0035273771142235e-05
212,5328,52.1154899597168,6.000947050305111e-05
237,6865,52.00230026245117,5.987913585965505e-05
1819,5037,52.000823974609375,5.987743595715457e-05
540,5917,51.930901527404785,5.9796922293438305e-05
417,2727,51.815826416015625,5.966441665053097e-05
451,2160,51.75535583496094,5.9594786535705055e-05
546,4705,51.66200065612793,5.948729076324246e-05
2111,2375,51.6148624420166,5.943301248107593e-05
214,425,51.5826940536499,5.939597151774019e-05
540,5901,51.47266674041748,5.926927826755575e-05
178,1129,51.42237949371338,5.9211373965972826e-05
454,2157,51.29441738128662,5.9064029316289646e-05
4,1632,51.275015354156494,5.9041688446508615e-05
3123,3698,51.25568771362305,5.901943323072954e-05
1584,6616,51.14907121658325,5.889666743616072e-05
518,4402,51.14632034301758,5.889349988528046e-05
3438,4905,51.08031463623047,5.881749623420598e-05
1704,4971,51.04671239852905,5.8778804235076e-05
1460,4423,50.97583627700806,5.8697192443129456e-05
1385,6007,50.921525955200195,5.863465568760707e-05
667,5253,50.88710594177246,5.859502204351962e-05
2,626,50.8508825302124,5.855331183894871e-05
698,2946,50.850168228149414,5.855248934090423e-05
36,6804,50.6791877746582,5.8355610323009355e-05
397,3640,50.55351734161377,5.8210904475463554e-05
258,5420,50.52988147735596,5.818368846540417e-05
70,520,50.47151756286621,5.811648411583896e-05
1710,3992,50.435636043548584,5.8075167590238605e-05
123,7019,50.42830276489258,5.806672353321183e-05
1380,5205,50.339651107788086,5.796464372918099e-05
538,2764,50.32716178894043,5.7950262641877186e-05
1547,5990,50.271121978759766,5.788573443080918e-05
64,113,50.24763870239258,5.7858694121266636e-05
138,1307,50.172576904296875,5.777226264451737e-05
1919,5463,50.10452461242676,5.769390241026069e-05
2,6201,50.08824825286865,5.767516065575442e-05
1287,4496,50.04397010803223,5.762417566015052e-05
247,6675,50.03414726257324,5.761286493937859e-05
3711,3832,49.99318313598633,5.7565695939374924e-05
1127,4340,49.943366050720215,5.750833301500953e-05
1721,4303,49.9244441986084,5.748654505279244e-05
667,6048,49.91738319396973,5.7478414511375413e-05
240,2309,49.87597131729126,5.743072994016763e-05
397,3786,49.86692571640015,5.742031419390338e-05
145,5628,49.679100036621094,5.720403838801287e-05
1751,4305,49.5707893371582,5.7079321768642946e-05
540,4621,49.557403564453125,5.7063908440802664e-05
1919,2483,49.551876068115234,5.705754368957993e-05
84,6901,49.50178909301758,5.6999869994925365e-05
227,1957,49.50150012969971,5.699953726207159e-05
1851,2746,49.478628158569336,5.697320085272466e-05
1719,4967,49.4768967628479,5.697120720092258e-05
546,684,49.47264099121094,5.6966306803694934e-05
540,2974,49.45743942260742,5.694880263970419e-05
181,6490,49.438655853271484,5.69271739060805e-05
667,1428,49.4172625541687,5.690254014455463e-05
1751,4113,49.359822273254395,5.683639933218045e-05
1389,5400,49.2765908241272,5.674056073994645e-05
71,5063,49.2746057510376,5.673827498603511e-05
47,6188,49.25617694854736,5.671705475611308e-05
231,4863,49.253172874450684,5.671359565218768e-05
601,3610,49.179616928100586,5.662889811991403e-05
1287,2756,49.04011130332947,5.646826145159943e-05
464,2112,48.94182014465332,5.635508204194894e-05
1719,4909,48.87858867645264,5.628227284589635e-05
1584,6621,48.856849193573,5.6257240463822886e-05
1460,3231,48.85294437408447,5.625274417778399e-05
1555,3610,48.79641532897949,5.618765262693385e-05
217,357,48.785888671875,5.617553148752796e-05
36,6092,48.757673263549805,5.614304226570675e-05
47,5285,48.754250049591064,5.613910053442414e-05
220,1232,48.7321138381958,5.611361133100688e-05
72,110,48.68429660797119,5.605855118154039e-05
57,3667,48.60444259643555,5.596660161043394e-05
57,3673,48.59992742538452,5.596140252232765e-05
240,6724,48.537670612335205,5.588971561332642e-05
133,779,48.513309478759766,5.586166447674791e-05
53,5950,48.455434799194336,5.579502346696483e-05
445,6710,48.45454216003418,5.579399561894129e-05
3376,6816,48.362897872924805,5.568846988852382e-05
220,1049,48.34127998352051,5.566357751779972e-05
1321,5245,48.28118705749512,5.5594382261753e-05
1710,5840,48.280478954315186,5.559356690154202e-05
3720,7030,48.26942253112793,5.5580835751904206e-05
1380,1652,48.265103340148926,5.5575862329149245e-05
176,7145,48.23309898376465,5.553901024386911e-05
5259,5909,48.205108642578125,5.550678018031025e-05
1751,2715,48.12716817855835,5.541703400349787e-05
2019,3248,48.083109855651855,5.5366302126451046e-05
138,348,48.07610750198364,5.5358239119920175e-05
71,6737,48.03032684326172,5.530552402328946e-05
2139,4881,48.019474029541016,5.5293027324028816e-05
713,4599,48.016133308410645,5.528918058083813e-05
1419,4109,47.98948287963867,5.525849338744282e-05
755,3101,47.96865463256836,5.5234510266893395e-05
540,618,47.88639545440674,5.5139791216390164e-05
247,2639,47.81611108779907,5.5058860813010506e-05
2561,6729,47.78839588165283,5.502694755944608e-05
1696,4070,47.76316833496094,5.499789877337035e-05
1321,6675,47.754549980163574,5.4987974988553266e-05
1929,2427,47.710083961486816,5.4936773661687995e-05
181,6821,47.686171531677246,5.4909239194441833e-05
1286,2766,47.57037162780762,5.477589897407948e-05
558,4819,47.38429069519043,5.4561632193786275e-05
1967,3719,47.33275556564331,5.450229099141402e-05
451,5650,47.30079460144043,5.4465488870968366e-05
240,1307,47.29252910614014,5.445597139359648e-05
5252,5909,47.2438850402832,5.4399959166954336e-05
