[INFO] Using device: cpu
[INFO] Nodes: 7300, Val nodes (from held-out edges): 4652
[INFO] Train edges: 112763
[INFO] Val edges:   6633
[INFO] Test edges:  13266
[INFO] Saved validation set to results/grad_dotprods/valset.pt
Epoch: 163 | Loss: 1.0572 | AUC: 0.8998 | AP: 0.9153
Epoch: 164 | Loss: 1.0579 | AUC: 0.8979 | AP: 0.9142
Epoch: 165 | Loss: 1.0552 | AUC: 0.8985 | AP: 0.9146
Epoch: 166 | Loss: 1.0579 | AUC: 0.8986 | AP: 0.9146
Epoch: 167 | Loss: 1.0518 | AUC: 0.9001 | AP: 0.9154
Epoch: 168 | Loss: 1.0500 | AUC: 0.9024 | AP: 0.9169
Epoch: 169 | Loss: 1.0564 | AUC: 0.8997 | AP: 0.9151
Epoch: 170 | Loss: 1.0563 | AUC: 0.8982 | AP: 0.9142
Epoch: 171 | Loss: 1.0589 | AUC: 0.8982 | AP: 0.9142
Epoch: 172 | Loss: 1.0560 | AUC: 0.8978 | AP: 0.9140
Epoch: 173 | Loss: 1.0567 | AUC: 0.8970 | AP: 0.9134
Epoch: 174 | Loss: 1.0553 | AUC: 0.8998 | AP: 0.9151
Epoch: 175 | Loss: 1.0539 | AUC: 0.9002 | AP: 0.9154
Epoch: 176 | Loss: 1.0573 | AUC: 0.8973 | AP: 0.9135
Epoch: 177 | Loss: 1.0575 | AUC: 0.8980 | AP: 0.9140
Epoch: 178 | Loss: 1.0517 | AUC: 0.8996 | AP: 0.9150
Epoch: 179 | Loss: 1.0573 | AUC: 0.8961 | AP: 0.9127
Epoch: 180 | Loss: 1.0553 | AUC: 0.8970 | AP: 0.9132
Epoch: 181 | Loss: 1.0590 | AUC: 0.8993 | AP: 0.9147
Epoch: 182 | Loss: 1.0589 | AUC: 0.8957 | AP: 0.9123
Epoch: 183 | Loss: 1.0593 | AUC: 0.8980 | AP: 0.9137
Epoch: 184 | Loss: 1.0540 | AUC: 0.9000 | AP: 0.9151
Epoch: 185 | Loss: 1.0585 | AUC: 0.8950 | AP: 0.9118
Epoch: 186 | Loss: 1.0536 | AUC: 0.8954 | AP: 0.9121
Epoch: 187 | Loss: 1.0567 | AUC: 0.8996 | AP: 0.9149
Epoch: 188 | Loss: 1.0565 | AUC: 0.8959 | AP: 0.9123
Epoch: 189 | Loss: 1.0520 | AUC: 0.8960 | AP: 0.9123
Epoch: 190 | Loss: 1.0576 | AUC: 0.8989 | AP: 0.9142
Epoch: 191 | Loss: 1.0543 | AUC: 0.8974 | AP: 0.9133
Epoch: 192 | Loss: 1.0586 | AUC: 0.8957 | AP: 0.9121
Epoch: 193 | Loss: 1.0544 | AUC: 0.8970 | AP: 0.9130
Epoch: 194 | Loss: 1.0559 | AUC: 0.8970 | AP: 0.9130
Epoch: 195 | Loss: 1.0540 | AUC: 0.8946 | AP: 0.9113
Epoch: 196 | Loss: 1.0522 | AUC: 0.8976 | AP: 0.9133
Epoch: 197 | Loss: 1.0554 | AUC: 0.8985 | AP: 0.9138
Epoch: 198 | Loss: 1.0609 | AUC: 0.8935 | AP: 0.9104
Epoch: 199 | Loss: 1.0562 | AUC: 0.8987 | AP: 0.9140
Epoch: 200 | Loss: 1.0545 | AUC: 0.8986 | AP: 0.9140
[INFO] Saving dot product log at iteration 200 ...

Median time per epoch: 0.4021s

[INFO] Saved Shapley values -> results/graph_node_shapley.value
[INFO] Nodes: 7300
[INFO] Top 5 nodes by Shapley value:
  Node 113 (neuron 864691135207767929) | Shapley = 0.000412
  Node 80 (neuron 864691136039723518) | Shapley = 0.000334
  Node 1647 (neuron 864691135058552731) | Shapley = 0.000324
  Node 1806 (neuron 864691135952020259) | Shapley = 0.000306
  Node 9 (neuron 864691135571237925) | Shapley = 0.000300
[INFO] Saved model checkpoint -> results/graph_node_shapley_model.pt
